sym,ein,entry,xout,exit,qty,net,retpct,reason
KRBL,2023-02-08,366.39488713530125,2023-04-13,336.4313462470425,200,-6235.5700109066165,-8.509357294339049,ROTATION
TVSMOTOR,2022-08-05,919.7034512554765,2023-06-14,1331.4512102683682,115,46921.49493502717,44.36353901663031,ROTATION
TIINDIA,2022-08-05,2200.618236984529,2023-06-14,2815.276782012533,48,29101.969389648122,27.55094085659279,ROTATION
BANKINDIA,2023-01-09,83.77614008513673,2023-07-14,71.12834167480469,982,-12682.093127513624,-15.415552813179675,ROTATION
VBL,2022-10-10,219.68429734998605,2023-08-14,337.73601051673853,410,48020.66915043361,53.31449935502091,ROTATION
HAL,2022-08-05,954.43533482273,2023-09-13,1918.7177156879366,111,106513.58974929583,100.53922509182055,ROTATION
APOLLOTYRE,2023-04-13,312.5070455209312,2023-09-13,367.67980382349583,340,18371.596917791278,17.29052491973975,ROTATION
CIEINDIA,2023-03-10,370.92591591922,2023-10-16,443.59477704099044,293,20893.11676991748,19.224206966214183,ROTATION
IDFCFIRSTB,2023-06-14,75.00450449890734,2023-10-16,90.15491336284823,1676,24932.060729969697,19.833383771436008,ROTATION
INDIANB,2022-12-09,268.6986527465541,2023-11-16,416.67199263245715,301,44194.99541575983,54.64382712531711,ROTATION
UNIONBANK,2023-01-09,72.173794452055,2023-11-16,103.16390644309648,1677,51484.61856336262,42.53680815109002,ROTATION
RBLBANK,2023-06-14,175.04199638773648,2023-11-16,249.54983836294028,718,52993.51936174642,42.16538405263438,ROTATION
HUDCO,2023-10-16,85.10939368366162,2023-11-16,77.11568429348807,1815,-15000.007680087921,-9.71040526042107,ROTATION
CENTRALBK,2023-10-16,46.553011015830634,2023-12-18,47.08311385640313,3319,1242.8792090097845,0.8044033946149961,ROTATION
PNBHOUSING,2023-11-16,790.9693627256299,2023-12-18,798.4313383220066,201,969.3019536306394,0.6096819935780113,ROTATION
FINCABLES,2023-03-10,770.6040129696577,2024-01-17,1029.305471324118,141,36054.80280071855,33.18277831129855,ROTATION
EDELWEISS,2023-12-18,69.51118564755427,2024-02-19,72.1940702031013,1892,4628.488368083792,3.5193572010060086,ROTATION
ENGINERSIN,2023-08-14,142.8313227737369,2024-04-24,201.06070503068133,966,55702.62318695894,40.371516472152635,ROTATION
NLCINDIA,2024-01-17,215.5726090547465,2024-06-26,227.35228427048946,671,7409.964320018785,5.122712922615709,ROTATION
THOMASCOOK,2023-11-16,156.44660235798773,2024-08-27,225.90352963128743,989,68072.84714432075,43.995827236063796,ROTATION
SJVN,2023-11-16,72.43869458072703,2024-09-25,126.02768337441006,2196,116972.09137990368,73.53249529066838,ROTATION
MRPL,2023-11-16,114.5010741153057,2024-09-25,177.60309499427282,1389,86985.6235932933,54.69349479899653,ROTATION
PFC,2023-07-14,162.2706677158292,2024-10-25,424.4058127312981,650,169770.26888909907,160.95640249508526,ROTATION
RECLTD,2023-09-13,220.9529156462403,2024-10-25,482.3793322946143,660,171790.51564056723,117.80277227850853,ROTATION
HUDCO,2024-02-19,187.71089789153942,2024-10-25,195.7836771591418,725,5389.299014503464,3.960087541837277,ROTATION
NBCC,2024-04-24,88.82888300175053,2024-10-25,90.80497760409496,2180,3661.3202967973843,1.8907191743798635,ROTATION
PRESTIGE,2023-12-18,1130.5133439712888,2024-11-27,1652.0983612034772,163,84278.00732433543,45.73523987815754,ROTATION
HAL,2024-10-25,4121.5488558457955,2024-11-27,4294.261606316748,13,2053.2271068938826,3.832067802863236,ROTATION
GVTANDD,2023-09-13,327.11006015740094,2024-12-27,2064.217971843485,446,773073.8802963783,529.8979513369043,MKT_GATE
TRENT,2024-06-26,5334.033688658289,2024-12-27,7086.431001521579,28,48494.53387658393,32.46975440241504,MKT_GATE
PCJEWELLER,2024-08-27,12.140000343322754,2024-12-27,17.690000534057617,18565,102135.26398538104,45.317095106407805,MKT_GATE
JUBLPHARMA,2024-09-25,1193.698758659424,2024-12-27,1065.5464132657664,258,-34020.87473628312,-11.04666102820428,MKT_GATE
TORNTPOWER,2024-09-25,1855.7907427407154,2024-12-27,1433.9472612674483,115,-49141.12758105672,-23.02598795420637,MKT_GATE
NATIONALUM,2024-10-25,207.30126140367426,2024-12-27,204.3621055810401,1406,-5081.268525112549,-1.7433511833010271,MKT_GATE
