no,sym,entry_date,entry_px,exit_date,exit_px,qty,buy_value,sell_value,gross_pnl,stt,stamp,exch_gst,slippage,total_cost,net_pnl,net_pct,dp_flat_note,exit_reason
44,CIEINDIA,2023-03-10,370.93,2023-10-16,443.59,2.696,1000.0,1195.91,195.91,2.2,0.15,0.08,1.1,3.52,192.39,19.24,15.93,ROTATION
45,IDFCFIRSTB,2023-06-14,75.0,2023-10-16,90.15,13.3325,1000.0,1201.99,201.99,2.2,0.15,0.08,1.1,3.53,198.46,19.85,15.93,ROTATION
46,INDIANB,2022-12-09,268.7,2023-11-16,416.67,3.7216,1000.0,1550.7,550.7,2.55,0.15,0.09,1.28,4.07,546.64,54.66,15.93,ROTATION
47,UNIONBANK,2023-01-09,72.17,2023-11-16,103.16,13.8554,1000.0,1429.38,429.38,2.43,0.15,0.09,1.21,3.88,425.5,42.55,15.93,ROTATION
48,RBLBANK,2023-06-14,175.04,2023-11-16,249.55,5.7129,1000.0,1425.66,425.66,2.43,0.15,0.09,1.21,3.88,421.78,42.18,15.93,ROTATION
49,HUDCO,2023-10-16,85.11,2023-11-16,77.12,11.7496,1000.0,906.08,-93.92,1.91,0.15,0.07,0.95,3.08,-97.0,-9.7,15.93,ROTATION
50,CENTRALBK,2023-10-16,46.55,2023-12-18,47.08,21.4809,1000.0,1011.39,11.39,2.01,0.15,0.07,1.01,3.24,8.15,0.81,15.93,ROTATION
51,PNBHOUSING,2023-11-16,790.97,2023-12-18,798.43,1.2643,1000.0,1009.43,9.43,2.01,0.15,0.07,1.0,3.24,6.2,0.62,15.93,ROTATION
52,FINCABLES,2023-03-10,770.6,2024-01-17,1029.31,1.2977,1000.0,1335.71,335.71,2.34,0.15,0.08,1.17,3.74,331.97,33.2,15.93,ROTATION
53,EDELWEISS,2023-12-18,69.51,2024-02-19,72.19,14.3862,1000.0,1038.6,38.6,2.04,0.15,0.07,1.02,3.28,35.31,3.53,15.93,ROTATION
54,ENGINERSIN,2023-08-14,142.83,2024-04-24,201.06,7.0013,1000.0,1407.68,407.68,2.41,0.15,0.09,1.2,3.85,403.83,40.38,15.93,ROTATION
55,NLCINDIA,2024-01-17,215.57,2024-06-26,227.35,4.6388,1000.0,1054.64,54.64,2.05,0.15,0.07,1.03,3.31,51.34,5.13,15.93,ROTATION
56,THOMASCOOK,2023-11-16,156.45,2024-08-27,225.9,6.392,1000.0,1443.97,443.97,2.44,0.15,0.09,1.22,3.9,440.06,44.01,15.93,ROTATION
57,SJVN,2023-11-16,72.44,2024-09-25,126.03,13.8048,1000.0,1739.78,739.78,2.74,0.15,0.1,1.37,4.36,735.43,73.54,15.93,ROTATION
58,MRPL,2023-11-16,114.5,2024-09-25,177.6,8.7335,1000.0,1551.1,551.1,2.55,0.15,0.09,1.28,4.07,547.04,54.7,15.93,ROTATION
59,PFC,2023-07-14,162.27,2024-10-25,424.41,6.1625,1000.0,2615.42,1615.42,3.62,0.15,0.13,1.81,5.7,1609.72,160.97,15.93,ROTATION
60,RECLTD,2023-09-13,220.95,2024-10-25,482.38,4.5259,1000.0,2183.18,1183.18,3.18,0.15,0.12,1.59,5.04,1178.14,117.81,15.93,ROTATION
61,HUDCO,2024-02-19,187.71,2024-10-25,195.78,5.3273,1000.0,1043.01,43.01,2.04,0.15,0.07,1.02,3.29,39.72,3.97,15.93,ROTATION
62,NBCC,2024-04-24,88.83,2024-10-25,90.8,11.2576,1000.0,1022.25,22.25,2.02,0.15,0.07,1.01,3.26,18.99,1.9,15.93,ROTATION
63,PRESTIGE,2023-12-18,1130.51,2024-11-27,1652.1,0.8846,1000.0,1461.37,461.37,2.46,0.15,0.09,1.23,3.93,457.44,45.74,15.93,ROTATION
